filename, language, JSON, Properties, XML, Markdown, C#, JSON with Comments, JavaScript, HTML, TypeScript, CSS, SQL, SCSS, Batch, comment, blank, total
c:\Users\tadak\source\repos\XYZ-To-Do\.editorconfig, Properties, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 14
c:\Users\tadak\source\repos\XYZ-To-Do\.vs\VSWorkspaceState.json, JSON, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\AuthController.cs, C#, 0, 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 39, 40, 250
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\FilesController.cs, C#, 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 0, 0, 0, 19, 45, 347
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\MemberLicenseController.cs, C#, 0, 0, 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 8, 21, 137
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\MemberSettingController.cs, C#, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\MembersController.cs, C#, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 84
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalkMessagesController.cs, C#, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 89
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalkReceiversController.cs, C#, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 38, 21, 142
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalkTeamReceiversController.cs, C#, 0, 0, 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 10, 9, 102
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\PrivateTalksController.cs, C#, 0, 0, 0, 0, 188, 0, 0, 0, 0, 0, 0, 0, 0, 11, 28, 227
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ProjectToDoCommentsController.cs, C#, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 92
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ProjectToDosController.cs, C#, 0, 0, 0, 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 168
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ProjectsController.cs, C#, 0, 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 158
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\QuickToDoCommentsController.cs, C#, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 91
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\QuickToDosController.cs, C#, 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21, 176
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\TeamMembersController.cs, C#, 0, 0, 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 175
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\TeamsController.cs, C#, 0, 0, 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 161
c:\Users\tadak\source\repos\XYZ-To-Do\Controllers\ValuesController.cs, C#, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 46
c:\Users\tadak\source\repos\XYZ-To-Do\Hubs\CommentNotificationHub.cs, C#, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 41, 260
